file;time;n;m;solsize;recsteps;finished;VC-check;size-check;diff-to-opt;last-k-diff-to-opt
1-random/000002_000000000002.dimacs;0.09;2;0; 0;0;1;OK;OK;0;
1-random/000002_000000000012.dimacs;0.10;12;10; 2;0;1;OK;OK;0;
1-random/000004_000000000004.dimacs;0.09;4;0; 0;0;1;OK;OK;0;
1-random/000004_000000000024.dimacs;0.10;24;20; 4;0;1;OK;OK;0;
1-random/000006_000000000007.dimacs;0.09;7;1; 1;0;1;OK;OK;0;
1-random/000006_000000000036.dimacs;0.10;36;30; 4;0;1;OK;OK;0;
1-random/000008_000000000009.dimacs;0.10;9;1; 1;0;1;OK;OK;0;
1-random/000008_000000000048.dimacs;0.11;48;40; 7;0;1;OK;OK;0;
1-random/000010_000000000012.dimacs;0.09;12;2; 2;0;1;OK;OK;0;
1-random/000010_000000000060.dimacs;0.12;60;50; 10;0;1;OK;OK;0;
1-random/000012_000000000014.dimacs;0.10;14;2; 1;0;1;OK;OK;0;
1-random/000012_000000000072.dimacs;0.12;72;60; 11;0;1;OK;OK;0;
1-random/000014_000000000016.dimacs;0.10;16;2; 2;0;1;OK;OK;0;
1-random/000014_000000000084.dimacs;0.11;84;70; 13;0;1;OK;OK;0;
1-random/000016_000000000019.dimacs;0.09;19;3; 1;0;1;OK;OK;0;
1-random/000016_000000000096.dimacs;0.12;96;80; 15;0;1;OK;OK;0;
1-random/000018_000000000021.dimacs;0.11;21;3; 2;0;1;OK;OK;0;
1-random/000018_000000000108.dimacs;0.12;108;91; 15;0;1;OK;OK;0;
1-random/000020_000000000024.dimacs;0.10;24;4; 2;0;1;OK;OK;0;
1-random/000020_000000000120.dimacs;0.12;120;101; 18;0;1;OK;OK;0;
1-random/000022_000000000026.dimacs;0.10;26;4; 3;0;1;OK;OK;0;
1-random/000022_000000000132.dimacs;0.13;132;112; 19;0;1;OK;OK;0;
1-random/000024_000000000028.dimacs;0.10;28;4; 4;0;1;OK;OK;0;
1-random/000024_000000000144.dimacs;0.13;144;124; 22;0;1;OK;OK;0;
1-random/000026_000000000031.dimacs;0.11;31;6; 5;0;1;OK;OK;0;
1-random/000026_000000000156.dimacs;0.14;156;131; 23;0;1;OK;OK;0;
1-random/000028_000000000033.dimacs;0.11;33;8; 4;0;1;OK;OK;0;
1-random/000028_000000000168.dimacs;0.17;168;152; 26;0;1;OK;OK;0;
1-random/000030_000000000036.dimacs;0.09;36;8; 5;0;1;OK;OK;0;
1-random/000030_000000000180.dimacs;0.17;180;167; 27;0;1;OK;OK;0;
1-random/000035_000000000042.dimacs;0.10;42;7; 6;0;1;OK;OK;0;
1-random/000035_000000000210.dimacs;0.18;210;202; 26;0;1;OK;OK;0;
1-random/000040_000000000048.dimacs;0.11;48;19; 7;0;1;OK;OK;0;
1-random/000040_000000000240.dimacs;0.16;240;244; 35;0;1;OK;OK;0;
1-random/000045_000000000054.dimacs;0.10;54;9; 6;0;1;OK;OK;0;
1-random/000045_000000000270.dimacs;0.17;270;291; 39;0;1;OK;OK;0;
1-random/000050_000000000060.dimacs;0.11;60;13; 9;0;1;OK;OK;0;
1-random/000050_000000000300.dimacs;0.18;300;339; 46;0;1;OK;OK;0;
1-random/000055_000000000066.dimacs;0.11;66;14; 8;0;1;OK;OK;0;
1-random/000055_000000000330.dimacs;0.18;330;399; 48;0;1;OK;OK;0;
1-random/000060_000000000072.dimacs;0.10;72;13; 10;0;1;OK;OK;0;
1-random/000060_000000000360.dimacs;0.19;360;436; 50;0;1;OK;OK;0;
1-random/000065_000000000078.dimacs;0.10;78;20; 11;0;1;OK;OK;0;
1-random/000065_000000000390.dimacs;0.20;390;547; 59;0;1;OK;OK;0;
1-random/000070_000000000084.dimacs;0.11;84;21; 12;0;1;OK;OK;0;
1-random/000070_000000000210.dimacs;0.19;210;259; 56;0;1;OK;OK;0;
1-random/000070_000000000420.dimacs;0.21;420;539; 60;0;1;OK;OK;0;
1-random/000075_000000000090.dimacs;0.11;90;33; 13;0;1;OK;OK;0;
1-random/000075_000000000450.dimacs;0.21;450;682; 68;0;1;OK;OK;0;
1-random/000080_000000000096.dimacs;0.11;96;24; 13;0;1;OK;OK;0;
1-random/000080_000000000480.dimacs;0.20;480;777; 73;0;1;OK;OK;0;
1-random/000085_000000000102.dimacs;0.12;102;36; 16;0;1;OK;OK;0;
1-random/000085_000000000510.dimacs;0.22;510;843; 76;0;1;OK;OK;0;
1-random/000090_000000000108.dimacs;0.11;108;38; 17;0;1;OK;OK;0;
1-random/000090_000000000540.dimacs;0.21;540;825; 78;0;1;OK;OK;0;
1-random/000095_000000000114.dimacs;0.11;114;46; 18;0;1;OK;OK;0;
1-random/000095_000000000570.dimacs;0.23;570;1022; 86;0;1;OK;OK;0;
1-random/000100_000000000120.dimacs;0.11;120;51; 20;0;1;OK;OK;0;
1-random/000100_000000000600.dimacs;0.22;600;1151; 95;0;1;OK;OK;0;
1-random/000200_000000000240.dimacs;0.15;240;166; 38;0;1;OK;OK;0;
1-random/000200_000000001200.dimacs;0.32;1200;4537; 194;0;1;OK;OK;0;
1-random/000300_000000000360.dimacs;0.18;360;387; 58;0;1;OK;OK;0;
1-random/000300_000000001800.dimacs;0.50;1800;11129; 296;0;1;OK;OK;0;
1-random/000400_000000000480.dimacs;0.19;480;552; 78;0;1;OK;OK;0;
1-random/000400_000000002400.dimacs;0.67;2400;18594; 392;0;1;OK;OK;0;
1-random/000500_000000000600.dimacs;0.23;600;1271; 100;0;1;OK;OK;0;
1-random/000500_000000003000.dimacs;1.61;3000;30730; 498;0;1;OK;OK;0;
1-random/000600_000000000720.dimacs;0.25;720;1694; 119;0;1;OK;OK;0;
1-random/000600_000000003600.dimacs;2.24;3600;43303; 593;0;1;OK;OK;0;
1-random/000700_000000000840.dimacs;0.27;840;2395; 140;0;1;OK;OK;0;
1-random/000700_000000004200.dimacs;5.63;4200;58018; 692;0;1;OK;OK;0;
1-random/000800_000000000960.dimacs;0.29;960;3292; 160;0;1;OK;OK;0;
1-random/000800_000000004800.dimacs;6.02;4800;75159; 795;0;1;OK;OK;0;
1-random/000900_000000001080.dimacs;0.30;1080;3671; 180;0;1;OK;OK;0;
1-random/000900_000000005400.dimacs;10.54;5400;96355; 892;0;1;OK;OK;0;
1-random/001000_000000001200.dimacs;0.32;1200;4388; 199;0;1;OK;OK;0;
1-random/001000_000000006000.dimacs;17.99;6000;116702; 989;0;1;OK;OK;0;
3-medium-sized/vc001.dimacs;3.85;6160;40207; 2586;0;1;OK;OK;0;
